label,message
spam,Exam stress? Get the answers in advance! Affordable & reliable. DM me on WhatsApp +27831234567.
social,"Yo Themba, you coming to Gold Reef this this weekend?"
promotional,Save big at Vodacom Polokwane. weekend ends 31 May.
promotional,This weekend only: special at Capitec stores near Polokwane.
promotional,Don't miss out! MTN has a limited-time deal at Cape Town until this weekend.
promotional,Don't miss out! Pick n Pay has a weekend deal at Pretoria until end of month.
promotional,Exclusive offer from Shoprite: BOGO available now in Cape Town!
promotional,Shop now at Woolworths Polokwane for limited-time till tomorrow!
social,Miss you! Let's link up during lunch near your place. Themba
social,Hey! Let's catch up this weekend at Gold Reef. Been too long! Lerato
spam,Congrats! You've won a SARS Refund. Contact +27631234567 to claim your prize.
spam,Don't miss out on SARS Refund. Call +27765432100 to secure funds today.
social,"Got plans for during lunch? Join us at Menlyn. Cheers, Sipho"
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27765432100.
spam,Immediate action required: NSFAS Grant waiting. Text YES to +27765432100.
promotional,Save big at Checkers Pretoria. special ends this weekend.
social,"Yo Tasha, you coming to Menlyn this this Saturday?"
ham,Don't forget your res meeting at UCT on today. All the best!
promotional,This weekend only: weekend at Vodacom stores near Polokwane.
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27631234567.
promotional,Exclusive offer from Pick n Pay: BOGO available now in Soweto!
spam,Immediate action required: Free Bursary waiting. Text YES to +27600012345.
ham,Campus update from Wits: fee deadline changes for tomorrow. Stay informed.
social,Howzit? Meeting at your place this after work? Let me know. Lerato
social,Miss you! Let's link up during lunch near Nandos. Zinhle
ham,Campus update from UKZN: fee deadline changes for 31 May. Stay informed.
spam,Exclusive SARS Refund offer for you. Act fast! Call +27831234567 now.
social,Miss you! Let's link up this weekend near Menlyn. Zinhle
social,"Got plans for this Saturday? Join us at UJ Library. Cheers, Themba"
promotional,Shop now at Pick n Pay Cape Town for weekend till this weekend!
promotional,Save big at Checkers Sandton. weekend ends today.
social,Miss you! Let's link up on Heritage Day near Gautrain. Sipho
spam,Ace your UNISA modules! Assignments and past paper answers available. Msg +27765432100 for pricing.
social,Hey! Let's catch up this Saturday at Nandos. Been too long! Lerato
spam,Congrats! You've won a SARS Refund. Contact +27791234567 to claim your prize.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27791234567.
social,"Got plans for this Saturday? Join us at Gold Reef. Cheers, Lerato"
promotional,Save big at Vodacom Soweto. BOGO ends 31 May.
ham,Don't forget your class at UNISA on next Friday. All the best!
social,"Got plans for during lunch? Join us at Menlyn. Cheers, Lerato"
ham,NWU reminder: Your res meeting is scheduled for this weekend. Check your student portal.
spam,Guaranteed exam help! Send your module code and we’ll sort you out. Msg +27831234567 now.
social,Hey! Let's catch up on Heritage Day at Gold Reef. Been too long! Lerato
social,"Got plans for this Saturday? Join us at Gold Reef. Cheers, Themba"
ham,Campus update from NWU: tutorial changes for 31 May. Stay informed.
ham,Important: UCT class cancellations on tomorrow. Check emails.
social,"Got plans for this weekend? Join us at Nandos. Cheers, Sipho"
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27600012345.
promotional,Don't miss out! Capitec has a BOGO deal at Cape Town until next Friday.
promotional,Don't miss out! Shoprite has a BOGO deal at Pretoria until 31 May.
social,"Got plans for after work? Join us at Menlyn. Cheers, Sipho"
social,Miss you! Let's link up on Heritage Day near your place. Tasha
promotional,Exclusive offer from MTN: weekend available now in Pretoria!
promotional,Shop now at Woolworths Cape Town for special till end of month!
ham,Important: UNISA class cancellations on end of month. Check emails.
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27765432100.
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27831234567.
promotional,Exclusive offer from Shoprite: limited-time available now in Durban!
promotional,Exclusive offer from Checkers: special available now in Polokwane!
spam,URGENT: Claim your NSFAS Grant now! Reply YES or call +27791234567. RICA rules apply.
promotional,Shop now at MTN Soweto for BOGO till today!
spam,Don't miss out on SARS Refund. Call +27765432100 to secure funds today.
ham,Don't forget your res meeting at NWU on this weekend. All the best!
social,"Yo Zinhle, you coming to UJ Library this this Saturday?"
social,Miss you! Let's link up this Saturday near Gold Reef. Sipho
social,Hey! Let's catch up after work at Nandos. Been too long! Zinhle
promotional,Save big at Shoprite Soweto. weekend ends today.
promotional,Exclusive offer from Vodacom: back-to-school available now in Polokwane!
social,"Got plans for during lunch? Join us at Gautrain. Cheers, Sipho"
social,"Yo Themba, you coming to Gautrain this this Saturday?"
ham,UP reminder: Your exam is scheduled for today. Check your student portal.
promotional,This weekend only: back-to-school at Woolworths stores near Soweto.
promotional,Save big at Pick n Pay Soweto. weekend ends end of month.
promotional,Save big at MTN Sandton. weekend ends today.
ham,Stellenbosch reminder: Your fee deadline is scheduled for next Friday. Check your student portal.
promotional,Save big at Pick n Pay Polokwane. 50% off ends next Friday.
promotional,This weekend only: back-to-school at Woolworths stores near Polokwane.
ham,NWU: Fee payment deadline is 31 May. Please pay promptly.
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27831234567.
promotional,Shop now at Checkers Pretoria for limited-time till end of month!
promotional,Save big at Shoprite Soweto. limited-time ends tomorrow.
social,Miss you! Let's link up on Heritage Day near UJ Library. Themba
ham,Important: UP class cancellations on end of month. Check emails.
social,"Yo Zinhle, you coming to Menlyn this on Heritage Day?"
ham,Important: Rhodes class cancellations on 31 May. Check emails.
ham,Important: Rhodes class cancellations on end of month. Check emails.
social,Hey! Let's catch up after work at UJ Library. Been too long! Sipho
spam,Don't miss out on Free Bursary. Call +27831234567 to secure funds today.
social,Howzit? Meeting at your place this on Heritage Day? Let me know. Zinhle
promotional,This weekend only: special at Checkers stores near Polokwane.
spam,Exclusive NSFAS Grant offer for you. Act fast! Call +27831234567 now.
spam,Exclusive Forex Profits offer for you. Act fast! Call +27600012345 now.
social,"Yo Zinhle, you coming to Gold Reef this during lunch?"
ham,Important: UNISA class cancellations on today. Check emails.
promotional,This weekend only: weekend at Woolworths stores near Durban.
promotional,Exclusive offer from Capitec: limited-time available now in Durban!
ham,Campus update from UKZN: assignment changes for today. Stay informed.
ham,Important: Stellenbosch class cancellations on today. Check emails.
social,Hey! Let's catch up after work at UJ Library. Been too long! Sipho
spam,Exclusive SARS Refund offer for you. Act fast! Call +27831234567 now.
spam,Don't miss out on SARS Refund. Call +27831234567 to secure funds today.
social,Miss you! Let's link up on Heritage Day near Gautrain. Tasha
promotional,Shop now at Vodacom Polokwane for limited-time till next Friday!
promotional,Shop now at Checkers Soweto for BOGO till tomorrow!
promotional,Shop now at Checkers Sandton for BOGO till next Friday!
ham,Don't forget your class at Wits on next Friday. All the best!
ham,NWU reminder: Your assignment is scheduled for tomorrow. Check your student portal.
spam,URGENT: Claim your SARS Refund now! Reply YES or call +27631234567. RICA rules apply.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27791234567.
social,"Got plans for this weekend? Join us at Menlyn. Cheers, Sipho"
ham,Stellenbosch reminder: Your tutorial is scheduled for today. Check your student portal.
ham,UP: Fee payment deadline is next Friday. Please pay promptly.
promotional,Don't miss out! Checkers has a weekend deal at Soweto until 31 May.
promotional,Don't miss out! MTN has a weekend deal at Polokwane until tomorrow.
social,"Yo Themba, you coming to Nandos this during lunch?"
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27600012345.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27765432100.
promotional,Don't miss out! Shoprite has a weekend deal at Pretoria until this weekend.
spam,URGENT: Claim your Forex Profits now! Reply YES or call +27600012345. RICA rules apply.
spam,Congrats! You've won a Forex Profits. Contact +27831234567 to claim your prize.
social,"Yo Lerato, you coming to UJ Library this this weekend?"
social,Howzit? Meeting at UJ Library this during lunch? Let me know. Zinhle
spam,Guaranteed exam help! Send your module code and we’ll sort you out. Msg +27631234567 now.
promotional,Shop now at Woolworths Polokwane for 50% off till this weekend!
promotional,Save big at Pick n Pay Cape Town. limited-time ends today.
ham,Campus update from NWU: fee deadline changes for this weekend. Stay informed.
social,Miss you! Let's link up this weekend near Menlyn. Tasha
social,Howzit? Meeting at Gold Reef this on Heritage Day? Let me know. Tasha
promotional,Save big at Checkers Durban. limited-time ends tomorrow.
ham,UCT: Fee payment deadline is today. Please pay promptly.
social,Miss you! Let's link up on Heritage Day near UJ Library. Zinhle
promotional,This weekend only: 50% off at Capitec stores near Durban.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27791234567.
spam,Don't miss out on Forex Profits. Call +27831234567 to secure funds today.
spam,Congrats! You've won a SARS Refund. Contact +27831234567 to claim your prize.
promotional,Shop now at Woolworths Sandton for BOGO till end of month!
social,Howzit? Meeting at Nandos this this Saturday? Let me know. Lerato
ham,Important: Wits class cancellations on tomorrow. Check emails.
social,Miss you! Let's link up after work near Gold Reef. Themba
ham,Don't forget your tutorial at Wits on next Friday. All the best!
spam,Exam stress? Get the answers in advance! Affordable & reliable. DM me on WhatsApp +27831234567.
social,"Got plans for during lunch? Join us at Menlyn. Cheers, Sipho"
ham,Don't forget your assignment at Stellenbosch on next Friday. All the best!
spam,Immediate action required: Forex Profits waiting. Text YES to +27765432100.
ham,Wits reminder: Your exam is scheduled for this weekend. Check your student portal.
social,Howzit? Meeting at your place this on Heritage Day? Let me know. Themba
promotional,Don't miss out! Woolworths has a BOGO deal at Sandton until next Friday.
social,"Got plans for this weekend? Join us at Gautrain. Cheers, Tasha"
spam,Don't miss out on Free Bursary. Call +27631234567 to secure funds today.
social,Hey! Let's catch up after work at Nandos. Been too long! Tasha
promotional,Don't miss out! Checkers has a back-to-school deal at Pretoria until tomorrow.
promotional,Shop now at Capitec Pretoria for BOGO till 31 May!
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27631234567.
spam,Guaranteed exam help! Send your module code and we’ll sort you out. Msg +27831234567 now.
promotional,This weekend only: back-to-school at Pick n Pay stores near Cape Town.
promotional,Don't miss out! Woolworths has a limited-time deal at Polokwane until today.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27791234567.
social,Howzit? Meeting at Nandos this on Heritage Day? Let me know. Zinhle
promotional,Exclusive offer from Woolworths: weekend available now in Cape Town!
social,"Yo Zinhle, you coming to Gautrain this during lunch?"
social,Howzit? Meeting at Menlyn this after work? Let me know. Sipho
promotional,Save big at Pick n Pay Cape Town. BOGO ends next Friday.
promotional,Shop now at Vodacom Durban for 50% off till end of month!
promotional,Shop now at Checkers Pretoria for BOGO till next Friday!
promotional,Save big at Shoprite Polokwane. weekend ends today.
promotional,Shop now at Checkers Sandton for limited-time till today!
ham,Don't forget your exam at UJ on end of month. All the best!
promotional,Don't miss out! MTN has a BOGO deal at Durban until end of month.
social,"Yo Tasha, you coming to Gautrain this during lunch?"
promotional,Exclusive offer from Shoprite: BOGO available now in Polokwane!
ham,UCT: Fee payment deadline is next Friday. Please pay promptly.
social,Hey! Let's catch up this Saturday at Nandos. Been too long! Sipho
promotional,Shop now at Checkers Cape Town for limited-time till this weekend!
promotional,Don't miss out! Checkers has a back-to-school deal at Pretoria until 31 May.
ham,Campus update from UP: assignment changes for this weekend. Stay informed.
social,Miss you! Let's link up on Heritage Day near your place. Themba
spam,Exclusive SARS Refund offer for you. Act fast! Call +27765432100 now.
promotional,Exclusive offer from Capitec: back-to-school available now in Pretoria!
promotional,Don't miss out! Woolworths has a special deal at Polokwane until end of month.
spam,Exam stress? Get the answers in advance! Affordable & reliable. DM me on WhatsApp +27631234567.
ham,Campus update from Wits: class changes for next Friday. Stay informed.
social,"Yo Sipho, you coming to Gautrain this after work?"
spam,Immediate action required: Forex Profits waiting. Text YES to +27831234567.
ham,Campus update from UCT: assignment changes for tomorrow. Stay informed.
social,Hey! Let's catch up this Saturday at Gold Reef. Been too long! Lerato
promotional,Shop now at Capitec Pretoria for limited-time till end of month!
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27765432100.
promotional,Exclusive offer from Checkers: special available now in Sandton!
promotional,Exclusive offer from Vodacom: special available now in Soweto!
social,Hey! Let's catch up on Heritage Day at Menlyn. Been too long! Lerato
ham,Stellenbosch: Fee payment deadline is tomorrow. Please pay promptly.
promotional,Save big at MTN Polokwane. 50% off ends 31 May.
ham,Campus update from Stellenbosch: exam changes for end of month. Stay informed.
social,Miss you! Let's link up during lunch near your place. Zinhle
promotional,This weekend only: weekend at Woolworths stores near Polokwane.
social,"Yo Sipho, you coming to Menlyn this this weekend?"
social,"Got plans for after work? Join us at Gold Reef. Cheers, Themba"
promotional,Save big at Shoprite Durban. 50% off ends next Friday.
spam,URGENT: Claim your SARS Refund now! Reply YES or call +27600012345. RICA rules apply.
promotional,Shop now at Woolworths Soweto for 50% off till end of month!
promotional,This weekend only: BOGO at MTN stores near Polokwane.
promotional,Shop now at Woolworths Sandton for back-to-school till today!
promotional,Exclusive offer from Shoprite: special available now in Durban!
promotional,Don't miss out! Woolworths has a 50% off deal at Soweto until this weekend.
ham,Important: UKZN class cancellations on today. Check emails.
social,Howzit? Meeting at Nandos this during lunch? Let me know. Tasha
ham,UJ reminder: Your res meeting is scheduled for today. Check your student portal.
promotional,Shop now at Vodacom Sandton for 50% off till tomorrow!
promotional,Save big at Shoprite Pretoria. 50% off ends 31 May.
spam,Immediate action required: SARS Refund waiting. Text YES to +27791234567.
spam,Guaranteed exam help! Send your module code and we’ll sort you out. Msg +27600012345 now.
ham,Campus update from UCT: fee deadline changes for tomorrow. Stay informed.
spam,Congrats! You've won a NSFAS Grant. Contact +27791234567 to claim your prize.
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27765432100.
promotional,This weekend only: 50% off at Vodacom stores near Sandton.
promotional,This weekend only: special at MTN stores near Soweto.
ham,Campus update from Stellenbosch: assignment changes for next Friday. Stay informed.
promotional,Shop now at MTN Soweto for back-to-school till 31 May!
spam,Exclusive NSFAS Grant offer for you. Act fast! Call +27831234567 now.
ham,UCT: Fee payment deadline is next Friday. Please pay promptly.
spam,Exclusive SARS Refund offer for you. Act fast! Call +27765432100 now.
promotional,Shop now at Checkers Soweto for limited-time till tomorrow!
social,Hey! Let's catch up this weekend at your place. Been too long! Zinhle
promotional,Exclusive offer from MTN: special available now in Durban!
promotional,Shop now at Checkers Durban for 50% off till tomorrow!
promotional,Shop now at Checkers Pretoria for limited-time till this weekend!
social,Hey! Let's catch up this Saturday at Gautrain. Been too long! Sipho
promotional,Don't miss out! Pick n Pay has a back-to-school deal at Polokwane until this weekend.
promotional,Save big at Shoprite Pretoria. BOGO ends today.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27791234567.
social,"Got plans for on Heritage Day? Join us at your place. Cheers, Lerato"
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27631234567.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27600012345.
spam,Ace your UNISA modules! Assignments and past paper answers available. Msg +27600012345 for pricing.
spam,Exam stress? Get the answers in advance! Affordable & reliable. DM me on WhatsApp +27631234567.
social,Hey! Let's catch up during lunch at Nandos. Been too long! Zinhle
promotional,Shop now at MTN Polokwane for limited-time till 31 May!
ham,NWU: Fee payment deadline is this weekend. Please pay promptly.
promotional,Don't miss out! Shoprite has a BOGO deal at Soweto until end of month.
spam,Exclusive Forex Profits offer for you. Act fast! Call +27831234567 now.
social,Howzit? Meeting at Gautrain this after work? Let me know. Tasha
social,Howzit? Meeting at Gautrain this this weekend? Let me know. Zinhle
ham,Campus update from Stellenbosch: fee deadline changes for this weekend. Stay informed.
spam,Exclusive NSFAS Grant offer for you. Act fast! Call +27631234567 now.
spam,URGENT: Claim your SARS Refund now! Reply YES or call +27791234567. RICA rules apply.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27791234567.
ham,Important: UKZN class cancellations on this weekend. Check emails.
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27631234567.
ham,Campus update from UKZN: fee deadline changes for this weekend. Stay informed.
social,Hey! Let's catch up on Heritage Day at Menlyn. Been too long! Tasha
ham,Campus update from Rhodes: res meeting changes for 31 May. Stay informed.
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27831234567.
social,"Got plans for this weekend? Join us at Gold Reef. Cheers, Tasha"
promotional,Save big at Woolworths Polokwane. 50% off ends end of month.
social,"Yo Tasha, you coming to Gautrain this this weekend?"
promotional,Don't miss out! Capitec has a BOGO deal at Cape Town until next Friday.
social,"Got plans for during lunch? Join us at Menlyn. Cheers, Tasha"
promotional,Save big at Vodacom Pretoria. weekend ends next Friday.
ham,Wits reminder: Your fee deadline is scheduled for this weekend. Check your student portal.
social,Howzit? Meeting at UJ Library this this Saturday? Let me know. Lerato
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27631234567.
promotional,Exclusive offer from Capitec: 50% off available now in Polokwane!
promotional,Exclusive offer from Shoprite: back-to-school available now in Sandton!
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27831234567.
social,"Yo Lerato, you coming to UJ Library this this Saturday?"
spam,URGENT: Claim your Free Bursary now! Reply YES or call +27765432100. RICA rules apply.
promotional,Shop now at Shoprite Durban for back-to-school till today!
promotional,Save big at Vodacom Pretoria. back-to-school ends tomorrow.
social,"Yo Zinhle, you coming to Gold Reef this after work?"
spam,URGENT: Claim your Free Bursary now! Reply YES or call +27631234567. RICA rules apply.
social,"Got plans for this Saturday? Join us at Gautrain. Cheers, Lerato"
spam,Don't miss out on Forex Profits. Call +27765432100 to secure funds today.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27791234567.
social,Howzit? Meeting at Gautrain this on Heritage Day? Let me know. Tasha
spam,Ace your UNISA modules! Assignments and past paper answers available. Msg +27765432100 for pricing.
promotional,This weekend only: weekend at Woolworths stores near Durban.
social,"Got plans for on Heritage Day? Join us at Nandos. Cheers, Themba"
ham,Campus update from Wits: fee deadline changes for 31 May. Stay informed.
promotional,Save big at MTN Durban. weekend ends today.
social,Howzit? Meeting at Nandos this this Saturday? Let me know. Lerato
promotional,Shop now at Capitec Polokwane for BOGO till next Friday!
promotional,Shop now at MTN Durban for BOGO till this weekend!
promotional,Don't miss out! Woolworths has a BOGO deal at Pretoria until this weekend.
social,"Got plans for this Saturday? Join us at Gautrain. Cheers, Zinhle"
social,"Got plans for after work? Join us at your place. Cheers, Zinhle"
promotional,Exclusive offer from Capitec: 50% off available now in Sandton!
spam,Don't miss out on SARS Refund. Call +27831234567 to secure funds today.
ham,UJ reminder: Your assignment is scheduled for 31 May. Check your student portal.
spam,Don't miss out on NSFAS Grant. Call +27600012345 to secure funds today.
promotional,Don't miss out! Woolworths has a BOGO deal at Polokwane until end of month.
spam,Exclusive Forex Profits offer for you. Act fast! Call +27831234567 now.
ham,Campus update from Wits: exam changes for 31 May. Stay informed.
promotional,This weekend only: back-to-school at MTN stores near Soweto.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27631234567.
promotional,Shop now at Capitec Cape Town for 50% off till today!
promotional,Exclusive offer from Capitec: limited-time available now in Cape Town!
promotional,Shop now at Checkers Durban for weekend till this weekend!
spam,Ace your UNISA modules! Assignments and past paper answers available. Msg +27765432100 for pricing.
ham,Campus update from Stellenbosch: exam changes for this weekend. Stay informed.
social,Hey! Let's catch up this weekend at Nandos. Been too long! Themba
ham,Don't forget your assignment at UNISA on this weekend. All the best!
promotional,Save big at Shoprite Polokwane. BOGO ends 31 May.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27600012345.
social,Hey! Let's catch up this Saturday at Gautrain. Been too long! Sipho
ham,Campus update from Stellenbosch: assignment changes for this weekend. Stay informed.
social,Miss you! Let's link up on Heritage Day near UJ Library. Themba
social,"Got plans for after work? Join us at your place. Cheers, Sipho"
ham,UJ: Fee payment deadline is end of month. Please pay promptly.
spam,Don't miss out on Forex Profits. Call +27765432100 to secure funds today.
promotional,This weekend only: weekend at Woolworths stores near Cape Town.
promotional,Exclusive offer from Woolworths: back-to-school available now in Pretoria!
social,Howzit? Meeting at your place this after work? Let me know. Sipho
spam,Exclusive Free Bursary offer for you. Act fast! Call +27765432100 now.
social,Howzit? Meeting at your place this on Heritage Day? Let me know. Themba
ham,UP reminder: Your class is scheduled for next Friday. Check your student portal.
promotional,Save big at Vodacom Sandton. special ends this weekend.
social,"Got plans for after work? Join us at Menlyn. Cheers, Tasha"
promotional,Don't miss out! Capitec has a limited-time deal at Pretoria until end of month.
ham,Important: UKZN class cancellations on this weekend. Check emails.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27631234567.
social,Miss you! Let's link up during lunch near Nandos. Zinhle
promotional,Shop now at Checkers Pretoria for special till next Friday!
ham,Campus update from Stellenbosch: assignment changes for next Friday. Stay informed.
spam,Don't miss out on Free Bursary. Call +27631234567 to secure funds today.
social,Howzit? Meeting at your place this on Heritage Day? Let me know. Themba
promotional,Don't miss out! Checkers has a weekend deal at Pretoria until end of month.
spam,Don't miss out on NSFAS Grant. Call +27831234567 to secure funds today.
ham,Don't forget your class at UCT on next Friday. All the best!
ham,Campus update from UNISA: res meeting changes for next Friday. Stay informed.
ham,Stellenbosch: Fee payment deadline is this weekend. Please pay promptly.
promotional,This weekend only: weekend at Woolworths stores near Pretoria.
promotional,Save big at Woolworths Polokwane. back-to-school ends tomorrow.
social,"Yo Themba, you coming to Gautrain this on Heritage Day?"
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27600012345.
ham,UKZN: Fee payment deadline is end of month. Please pay promptly.
spam,Immediate action required: NSFAS Grant waiting. Text YES to +27791234567.
ham,Don't forget your tutorial at Stellenbosch on 31 May. All the best!
spam,URGENT: Claim your Forex Profits now! Reply YES or call +27791234567. RICA rules apply.
social,Hey! Let's catch up this Saturday at Nandos. Been too long! Themba
social,Hey! Let's catch up this weekend at Menlyn. Been too long! Zinhle
ham,Campus update from NWU: tutorial changes for 31 May. Stay informed.
promotional,Don't miss out! Shoprite has a limited-time deal at Pretoria until this weekend.
social,Howzit? Meeting at UJ Library this after work? Let me know. Lerato
promotional,Shop now at MTN Durban for weekend till this weekend!
social,"Got plans for this weekend? Join us at Nandos. Cheers, Themba"
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27831234567.
promotional,This weekend only: weekend at Vodacom stores near Sandton.
spam,Immediate action required: NSFAS Grant waiting. Text YES to +27631234567.
social,"Got plans for on Heritage Day? Join us at Nandos. Cheers, Zinhle"
spam,URGENT: Claim your Free Bursary now! Reply YES or call +27765432100. RICA rules apply.
promotional,Exclusive offer from MTN: back-to-school available now in Cape Town!
ham,Don't forget your class at Rhodes on end of month. All the best!
ham,UKZN: Fee payment deadline is today. Please pay promptly.
promotional,Exclusive offer from Shoprite: back-to-school available now in Soweto!
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27765432100.
spam,Immediate action required: Free Bursary waiting. Text YES to +27831234567.
social,Miss you! Let's link up on Heritage Day near your place. Tasha
social,Howzit? Meeting at Gautrain this during lunch? Let me know. Tasha
ham,Important: UP class cancellations on next Friday. Check emails.
spam,Congrats! You've won a Free Bursary. Contact +27791234567 to claim your prize.
ham,Don't forget your class at Rhodes on end of month. All the best!
promotional,Save big at MTN Polokwane. back-to-school ends 31 May.
ham,Important: UP class cancellations on 31 May. Check emails.
ham,UKZN reminder: Your assignment is scheduled for today. Check your student portal.
promotional,Don't miss out! MTN has a weekend deal at Pretoria until 31 May.
spam,Don't miss out on SARS Refund. Call +27791234567 to secure funds today.
social,Miss you! Let's link up during lunch near your place. Lerato
promotional,This weekend only: 50% off at Shoprite stores near Polokwane.
social,Miss you! Let's link up after work near UJ Library. Sipho
promotional,Don't miss out! MTN has a limited-time deal at Sandton until today.
social,Hey! Let's catch up this Saturday at Gold Reef. Been too long! Themba
spam,Exclusive Forex Profits offer for you. Act fast! Call +27631234567 now.
ham,UCT: Fee payment deadline is today. Please pay promptly.
spam,Immediate action required: SARS Refund waiting. Text YES to +27765432100.
promotional,Shop now at Pick n Pay Sandton for weekend till today!
social,Howzit? Meeting at Menlyn this during lunch? Let me know. Lerato
social,Howzit? Meeting at your place this on Heritage Day? Let me know. Zinhle
spam,Exclusive Free Bursary offer for you. Act fast! Call +27600012345 now.
social,Miss you! Let's link up after work near UJ Library. Tasha
social,Miss you! Let's link up after work near Gold Reef. Themba
spam,Immediate action required: NSFAS Grant waiting. Text YES to +27631234567.
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27600012345.
social,"Got plans for this weekend? Join us at UJ Library. Cheers, Sipho"
spam,Exclusive NSFAS Grant offer for you. Act fast! Call +27791234567 now.
ham,UP: Fee payment deadline is 31 May. Please pay promptly.
social,"Yo Sipho, you coming to Nandos this after work?"
social,"Yo Lerato, you coming to your place this on Heritage Day?"
